run,tag_1,tag_2,tag_3,latency_ms
1,silicone toys,plastic alternatives,toy safety,27153
2,toys safety,silicone toys,plastic vs silicone,27061
3,toys safety,silicone toys,plastic vs silicone,26995
4,toys safety,silicone toys,plastic vs silicone,27195
5,toys safety,silicone toys,plastic vs silicone,27056
6,toys safety,silicone toys,plastic vs silicone,27041
7,toys safety,silicone toys,plastic vs silicone,27278
8,toys safety,silicone toys,plastic vs silicone,27016
9,toys safety,silicone toys,plastic vs silicone,27129
10,toys safety,silicone toys,plastic vs silicone,26902
11,toys safety,silicone toys,plastic vs silicone,26927
12,toys safety,silicone toys,plastic vs silicone,26839
13,toys safety,silicone toys,plastic vs silicone,26903
14,toys safety,silicone toys,plastic vs silicone,27102
15,toys safety,silicone toys,plastic vs silicone,26686
16,toys safety,silicone toys,plastic vs silicone,27363
17,toys safety,silicone toys,plastic vs silicone,27109
18,toys safety,silicone toys,plastic vs silicone,27211
19,toys safety,silicone toys,plastic vs silicone,27414
20,toys safety,silicone toys,plastic vs silicone,27095
