ceiling,run,completed,elapsed_ms
2,1,True,11532.0
2,2,True,12376.0
2,3,True,11721.2
2,4,True,12026.8
2,5,True,12616.9
2,6,True,12367.0
2,7,True,11800.2
2,8,True,14018.3
2,9,True,13740.2
2,10,True,11397.8
2,11,True,11157.3
2,12,True,13608.3
2,13,True,13487.7
2,14,True,14227.6
2,15,True,13135.7
2,16,True,10405.6
2,17,True,13557.6
2,18,True,12217.6
2,19,True,8641.3
2,20,True,14090.7
10,1,True,63862.1
10,2,True,11759.1
10,3,True,58298.0
10,4,True,71486.4
10,5,True,28017.6
10,6,True,30677.1
10,7,True,13073.8
10,8,True,21358.8
10,9,True,11226.5
10,10,True,40325.6
10,11,True,71375.2
10,12,True,39894.0
10,13,True,11199.3
10,14,True,20821.1
10,15,True,64193.9
10,16,True,66638.2
10,17,True,66157.2
10,18,True,36051.1
10,19,True,60508.5
10,20,True,11897.2
